title	link	pubilsh	description	image
USC cancels all commencement speakers after canceled valedictorian speech	https://abcnews.go.com/US/usc-cancels-commencement-speakers-after-canceled-valedictorian-speech/story?id=109444698	Fri, 19 Apr 2024 22:09:08 -0400	The University of Southern California announced on Friday all commencement speakers are being eliminated from the commencement ceremony next week.	https://s.abcnews.com/images/US/usc-gty-jt-240419_1713575254965_hpMain_4x3t_384.jpg
Volkswagen workers in Tennessee have voted to join UAW, union says	https://abcnews.go.com/Business/uaw-vote-tennessee-plant-test-resurgent-labor-movement/story?id=109379141	Fri, 19 Apr 2024 23:13:24 -0400	4,326 workers at the Volkswagen facility were eligible to vote.	https://s.abcnews.com/images/Business/UAW-Tennessee-1-gty-jm-240418_1713456858612_hpMain_4x3t_384.jpg
New York AG asks court to reject Trump's $175M bond for civil judgment	https://abcnews.go.com/Politics/new-york-ag-asks-court-reject-trumps-175m/story?id=109440845	Fri, 19 Apr 2024 21:19:21 -0400	Letitia James contended the former president failed to demonstrate that the company behind his bond had the resources to pay it if his appeal failed.	https://s.abcnews.com/images/US/james-rt-er-240419_1713563191978_hpMain_4x3t_384.jpg
Man dies after setting himself on fire outside courthouse where Trump is on trial	https://abcnews.go.com/US/man-apparently-sets-fire-courthouse-trump-trial/story?id=109433903	Sat, 20 Apr 2024 09:26:56 -0400	The man, Maxwell Azzarello, was badly burned and taken to a hospital in critical condition, officials said, but he later died from his injuries.	https://s.abcnews.com/images/US/courthouse3-rt-ml-240419_1713549895752_hpMain_4x3t_384.jpg
5 teens injured in shooting at senior skip day gathering in Maryland park: Police	https://abcnews.go.com/US/greenbelt-maryland-senior-ditch-day-shooting/story?id=109439385	Fri, 19 Apr 2024 18:21:16 -0400	Five teenagers were shot after gunfire rang out at a large gathering of high school students taking part in a senior skip day in Maryland, police said.	https://s.abcnews.com/images/US/GREENBELT-1-abc-er-240419_1713560575704_hpMain_4x3t_384.jpg
10-year-old boy confesses to fatally shooting a man in his sleep 2 years ago, Texas authorities say	https://abcnews.go.com/US/wireStory/10-year-boy-confesses-fatally-shooting-man-sleep-109441356	Fri, 19 Apr 2024 19:39:24 -0400	Authorities in Texas say a 10-year-old boy has confessed to an unsolved 2022 killing, telling investigators that he shot a man he did not know while the victim slept	https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_4x3t_384.jpg
An Alabama prison warden is arrested on drug charges	https://abcnews.go.com/US/wireStory/alabama-prison-warden-arrested-drug-charges-109441856	Fri, 19 Apr 2024 19:38:30 -0400	The warden of an Alabama prison was arrested Friday on drug charges	https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_4x3t_384.jpg
North Korea says it tested 'super-large' cruise missile warhead and new anti-aircraft missile	https://abcnews.go.com/International/wireStory/north-korea-tested-super-large-cruise-missile-warhead-109444125	Fri, 19 Apr 2024 21:45:19 -0400	North Korea says it tested a &ldquo;super-large&rdquo; cruise missile warhead and a new anti-aircraft missile in a western coastal area as it expands its military capabilities in the face of deepening tensions with the United States and South Korea	https://s.abcnews.com/images/International/wirestory_2779ebc8507743fcfd12e43c505f86ca_4x3_384.jpg
Idaho group says it is exploring a ballot initiative for abortion rights and reproductive care	https://abcnews.go.com/Politics/wireStory/idaho-group-exploring-ballot-initiative-abortion-rights-reproductive-109442123	Fri, 19 Apr 2024 19:58:01 -0400	A new Idaho organization says it will ask voters to restore abortion access and other reproductive health care rights in the state after lawmakers let a second legislative session end without modifying the strict abortion bans	https://s.abcnews.com/images/US/abc_news_default_2000x2000_update_4x3t_384.jpg
West Virginia will not face $465M COVID education funds clawback after feds OK waiver, governor says	https://abcnews.go.com/Politics/wireStory/west-virginia-face-465m-covid-education-funds-clawback-109442426	Fri, 19 Apr 2024 19:35:44 -0400	West Virginia will not face a clawback of $465 million in COVID-19 money from the federal government, alleviating concerns raised by state lawmakers during the legislative session in March	https://s.abcnews.com/images/US/wirestory_0ba2a1b4a2db8ec6290e8bdba9c30b3c_4x3_384.jpg
House Democrats help Johnson avoid foreign aid bills defeat, despite GOP defections	https://abcnews.go.com/Politics/house-votes-advance-foreign-aid-bills-despite-gop/story?id=109423163	Fri, 19 Apr 2024 13:18:29 -0400	The House on Friday cleared a key procedural hurdle in passing foreign aid to Israel, Ukraine and Taiwan, despite Republican defections.	https://s.abcnews.com/images/Politics/speaker-johnson-1-gty-dp-041924_1713532781521_hpMain_4x3t_384.jpg
'American Idol' singer and Grammy winner Mandisa dies at 47	https://abcnews.go.com/GMA/Culture/american-idol-alum-grammy-winner-mandisa-dies/story?id=109427161	Fri, 19 Apr 2024 15:56:59 -0400	"Mandisa, who competed on season 5 of ""American Idol,"" has died, the singer's rep confirmed to ABC News."	https://s.abcnews.com/images/GMA/mandisa-1-gty-thg-240419_1713537169880_hpMain_4x3t_384.jpg
25 years later, Columbine survivors speak on the impact of the mass shooting	https://abcnews.go.com/US/survivors-columbine-shooting-discuss-struggles-ptsd-anxiety/story?id=109381550	Sat, 20 Apr 2024 06:31:17 -0400	The tragic events at Columbine High School in 1999, when 12 students and one teacher died in a mass shooting, marked a turning point for America.	https://s.abcnews.com/images/US/columbine-10-gty-gmh-240416_1713279521032_hpMain_4x3t_384.jpg
LIVE:  ABC News Live	https://abcnews.go.com/Live/video/abcnews-live-41463246	Fri, 19 Apr 2024 08:20:14 -0400	24/7 coverage of breaking news and live events	https://s.abcnews.com/images/US/abcnl__NEW_streamingnow_1664457649883_hpMain_4x3t_384.jpg
House to vote on foreign aid bills for Ukraine, Israel	https://abcnews.go.com/Politics/house-vote-foreign-aid-bills-ukraine-israel/story?id=109429499	Sat, 20 Apr 2024 06:23:51 -0400	The House will vote Saturday on foreign aid bills to provide assistance to Ukraine, Israel and Taiwan.	https://s.abcnews.com/images/Politics/johnson-1-ap-er-240419_1713547884693_hpMain_4x3t_384.jpg
WATCH:  TSA explosives detection canine given party to celebrate retirement	https://abcnews.go.com/US/video/tsa-explosives-detection-canine-party-celebrate-retirement-109440559	Fri, 19 Apr 2024 23:22:55 -0400	Messi, the TSA explosives detection canine, had a retirement party in Ronald Reagan Washington National Airport complete with over a dozen tennis balls, a bubble machine, party hat and cupcake.	https://s.abcnews.com/images/US/240419_abc_social_canine_retirement_party_hpMain_4x3_384.jpg
WATCH:  Watch the moment this dog patiently introduces himself to his new puppy brother	https://abcnews.go.com/GMA/Living/video/watch-moment-dog-patiently-introduces-new-puppy-brother-109436524	Fri, 19 Apr 2024 20:46:49 -0400	The most gentle doggy introduction you’ll ever see.	https://s.abcnews.com/images/GMA/240419_gma_digital_puppy_meets_brother_hpMain_4x3_384.jpg
WATCH:  Tourists flock to see Death Valley in bloom	https://abcnews.go.com/GMA/Travel/video/tourists-flock-death-valley-bloom-109419291	Fri, 19 Apr 2024 12:00:39 -0400	Gorgeous fields of wildflowers are taking over California with bright yellow daisies even popping up in Death Valley, the driest and hottest place in America.	https://s.abcnews.com/images/GMA/240419_gma_potd_shah_deathvalley4_hpMain_4x3_384.jpg
WATCH:  Watch this dog that can solve math problems with her paw	https://abcnews.go.com/GMA/Living/video/watch-dog-solve-math-problems-paw-109394476	Thu, 18 Apr 2024 16:14:47 -0400	Luna, a mini cockapoo, has a unique talent for solving math problems with help from her owner.	https://s.abcnews.com/images/GMA/240418_gma_digital_luna_the_talking_dog_hpMain_4x3_384.jpg
WATCH:  Taylor Swift fans count down to release of ‘The Tortured Poets Department’	https://abcnews.go.com/GMA/Culture/video/taylor-swift-fans-count-release-tortured-poets-department-109375916	Thu, 18 Apr 2024 11:38:43 -0400	In true Taylor Swift fashion, Easter eggs abound as the megastar drops clues about Friday’s release of her new studio album.	https://s.abcnews.com/images/GMA/240418_gma_reeve_taylorswift1_0748_hpMain_4x3_384.jpg
WATCH:  353 ballerinas broke the world record for dancing on pointe in one place	https://abcnews.go.com/WNT/video/353-ballerinas-broke-world-record-dancing-pointe-place-109365922	Wed, 17 Apr 2024 20:58:23 -0400	Hundreds of young dancers gathered in New York's Plaza Hotel on Wednesday to break the world record for dancing on pointe in one place.	https://s.abcnews.com/images/WNT/240417_wn_ender_hpMain_4x3_384.jpg
WATCH:  Cat rescued from Dubai flooding after clinging to car door	https://abcnews.go.com/International/video/cat-rescued-dubai-flooding-after-clinging-car-door-109346778	Wed, 17 Apr 2024 10:12:28 -0400	A cat clinging to a car door was rescued by police in Dubai after two years' worth of rain fell in just 24 hours.	https://s.abcnews.com/images/International/240417_abc_social_dubaicat_hpMain_4x3_384.jpg
WATCH:  Escaped circus elephant stops traffic in Montana	https://abcnews.go.com/US/video/escaped-circus-elephant-stops-traffic-montana-109356794	Wed, 17 Apr 2024 16:27:28 -0400	A circus elephant got loose and roamed through traffic in Butte, Montana, on Tuesday. It was returned safely by its handlers.	https://s.abcnews.com/images/US/230914_abc_social_elephant_in_colorado_hpMain_4x3_384.jpg
WATCH:  Dubai hit with severe flooding	https://abcnews.go.com/International/video/dubai-hit-severe-flooding-109332452	Tue, 16 Apr 2024 20:19:17 -0400	Dubai was hit with severe flooding on Tuesday after two years' worth of rain fell in just 24 hours, records show.	https://s.abcnews.com/images/International/dubai_flooding_reuters_240416_hpMain_4x3_384.jpg
WATCH:  3 shih tzus pop their heads up above a tub mid-bath	https://abcnews.go.com/GMA/Living/video/3-shih-tzus-pop-heads-tub-mid-bath-109306878	Tue, 16 Apr 2024 11:13:26 -0400	Mabel, Alice, and August were ready for bath time to be over.	https://s.abcnews.com/images/GMA/240412_gma_digital_1_soggydogs_hpMain_4x3_384.jpg
