title	link	pubilsh	description	image
Marco Arop runs world-leading 800m in season-opening win at Xiamen Diamond League		Fri, 19 Apr 2024 04:01:00 EDT		https://i.cbc.ca/1.7104798.1707110256!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/hungary-athletics-worlds.jpg
Canadian women's wheelchair basketball team books ticket to Paralympics after routing Algeria		Sat, 20 Apr 2024 00:13:38 EDT	Canada's women's wheelchair basketball team is Paris bound. The group punched its ticket to the 2024 Paralympics by routing Algeria 88-30 on Friday at a qualifying tournament in Osaka, Japan.	https://i.cbc.ca/1.7039622.1700860270!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_620/com-games-canada-20220802.JPG
Historic Indigenous curling game in Cree Nation of Chisasibi aims to inspire community		Sat, 20 Apr 2024 04:00:00 EDT	The Cree Nation of Chisasibi, a northern Quebec town on the eastern shore of James Bay, is making history this weekend by hosting ten elite Indigenous curlers from all across Canada who will be taking to the ice for an historic game.	https://i.cbc.ca/1.7179907.1713575240!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_620/chisasibi-curlers-2024-04-19.JPG
Top spot in the PWHL and attendance record at stake in latest Montreal-Toronto showdown		Fri, 19 Apr 2024 18:57:44 EDT	More than 21,000 fans are expected at Saturday's Montreal-Toronto game, which you can watch at 1 p.m. ET on CBC TV, CBC Gem, the CBC Sports app and CBCSports.ca.	https://i.cbc.ca/1.7179581.1713562236!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/pwhl-montreal.jpg
Pro sports feels harsh spotlight of gambling scandals, now visible in legal market		Sat, 20 Apr 2024 04:00:00 EDT	With top-tier pro leagues dealing with a mounting series of gambling-related scandals, it raises the question of what, if anything, can be done to limit future episodes of this nature.	https://i.cbc.ca/1.7178982.1713546485!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/march-12-2020-file-photo-showing-nba-logo-on-store-front-in-new-york-city.jpg
Celine Dion, Michael J. Fox voice their support for Canadian Olympians in new video		Fri, 19 Apr 2024 10:05:00 EDT	Two of Canada's biggest stars are all-in for Team Canada at this summer's Paris Olympics and are keen to tell the stories of the homegrown athletes who will be competing there.	https://i.cbc.ca/1.7178573.1713569519!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/coc-biu-assets-layouts-horizontalalt.jpg
Will a Canadian team finally win the Stanley Cup?		Fri, 19 Apr 2024 19:14:00 EDT	CBC Sports' daily newsletter previews the NHL playoffs, including the four clubs in the hunt for Canada's first Cup in 31 years.	https://i.cbc.ca/1.7179791.1713568031!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/2056897156.jpg
Video appearing to show MLB coach inside cockpit of Toronto-bound flight prompts probe		Fri, 19 Apr 2024 20:08:12 EDT	Federal transportation officials in the U.S. are investigating an unauthorized in-flight cockpit visit by a coach for the Colorado Rockies baseball team during a United Airlines charter flight last week from Denver to Toronto.	https://i.cbc.ca/1.7179838.1713569762!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/united-airlines-airplanes-at-newark-n-j-airport-in-november-2023.jpg
Twins who topped Canadian females at Boston Marathon began running on northern Ontario dirt roads		Sat, 20 Apr 2024 04:00:00 EDT	Twin sisters Kim and Michelle Krezonoski are recovering from running the gruelling Boston Marathon after topping Canadian female finishers. Now living in Toronto, they grew up near Thunder Bay and say the pomp and circumstance of the Boston event is a far cry from their humble beginnings training on dirt roads in northern Ontario.	https://i.cbc.ca/1.7179349.1713568664!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/kim-krezonoski-and-michelle-krezonoski.jpg
Streaking Winnipeg Jets feeling good about themselves entering playoff series with Colorado		Fri, 19 Apr 2024 16:59:55 EDT	The Colorado Avalanche are the 2022 Stanley Cup champions, with a lineup that features superstars Nathan MacKinnon, Cale Makar and Mikko Rantanen. But the Winnipeg Jets have home-ice advantage, the league's best goaltender and a dominant 3-0 record against their first-round opponents.	https://i.cbc.ca/1.7179340.1713555257!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/hkn-avalanche-jets-20240419.jpg
Canadian women's wheelchair basketball team 1 win away from Paralympic qualification		Fri, 19 Apr 2024 09:32:51 EDT	Canada's women's wheelchair basketball team is one win away from qualifying for the Paris Paralympics. The Canadians beat France 76-40 on Friday to finish the group stage a perfect 3-0 at their qualifying tournament in Osaka, Japan.	https://i.cbc.ca/1.7178622.1713533197!/fileImage/httpImage/image.jpeg_gen/derivatives/16x9_620/dandeneau-kady-041924.jpeg
Rivalry renewed: Alberta spring signals another Oilers-Kings playoff showdown		Fri, 19 Apr 2024 15:55:00 EDT	There are a few sure signs of spring in Alberta. The snow turns to slush, the Canada geese return to the ponds, lakes and streams, and the Edmonton Oilers and Los Angeles Kings face each other in the first round of the Western Conference Playoffs.	https://i.cbc.ca/1.7179317.1713554824!/cpImage/httpImage/image.jpg_gen/derivatives/16x9_620/hkn-kings-oilers-20240226.jpg
Kristin O'Neill scores twice as PWHL Montreal completes late comeback against Minnesota		Thu, 18 Apr 2024 22:07:53 EDT	Kristin O'Neill scored twice, and Montreal pulled off an epic comeback for a 4-3 win over Minnesota on Thursday night in the Professional Women's Hockey League.	https://i.cbc.ca/1.7178449.1713492160!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_620/hkw-minnesota-montreal-20240418.JPG
PWHL Toronto fails to clinch playoff spot in narrow loss to Boston		Thu, 18 Apr 2024 22:21:20 EDT	Emily Brown scored her first career goal, Susanna Tapani had a goal and an assist, and Boston returned from a 24-day international break to beat Toronto 2-1 on Thursday night.	https://i.cbc.ca/1.7178463.1713493093!/fileImage/httpImage/image.JPG_gen/derivatives/16x9_620/hkw-boston-toronto-20240320.JPG
Joy Drop: Excitement builds toward Paris Olympics		Fri, 19 Apr 2024 08:24:07 EDT	CBC Sports Senior Contributor Shireen Ahmed's weekly roundup of the things that struck her from the week that was.	https://i.cbc.ca/1.7178566.1713529210!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/2147862963.jpg
Arizona Coyotes officially headed to Utah as sale gets final NHL approval		Thu, 18 Apr 2024 16:03:47 EDT	The Arizona Coyotes are officially headed to Salt Lake City. The NHL board of governors voted unanimously Thursday to approve a $1.2 billion US sale from Alex Meruelo to Utah Jazz owners Ryan and Ashley Smith, clearing the way for the franchise's move to Utah next season.	https://i.cbc.ca/1.7177975.1713471473!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/oilers-coyotes-hockey.jpg
Olympic organizers unveil strategy for using artificial intelligence in sports		Fri, 19 Apr 2024 08:27:54 EDT	Olympic organizers unveiled their plans Friday to use artificial intelligence in sports, joining the global rush to capitalize on the rapidly advancing technology.	https://i.cbc.ca/1.7113788.1707847160!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/1824807241.jpg
Resilience is one of Canadian women's soccer team's greatest assets as it looks to defend Olympic gold		Thu, 18 Apr 2024 08:02:10 EDT	It's been a challenging three years for the Canadian women's soccer team since they won the Olympic gold medal, but the resilience they demonstrate will serve them well in Paris.	https://i.cbc.ca/1.7176376.1713370870!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/2064919141.jpg
Hockey Canada announces roster for world Para championship in Calgary		Thu, 18 Apr 2024 21:49:40 EDT	The Canadian team attempting to reclaim a world Para hockey championship on home ice was announced Thursday by Hockey Canada. Canada is the host team of the 2024 world championship May 4-12 in Calgary.	https://i.cbc.ca/1.7047967.1701655798!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/1384119599.jpg
Canadian women earn 2nd straight blowout win over Spain at wheelchair basketball qualifier		Thu, 18 Apr 2024 09:31:26 EDT	Canada's women's wheelchair basketball team continued its strong start at the Paralympic qualifying tournament on Thursday in Osaka, Japan.	https://i.cbc.ca/1.7177288.1713446825!/fileImage/httpImage/image.jpeg_gen/derivatives/16x9_620/lalonde-rosalie-041824.jpeg
