title	link	pubilsh	description	image
Myanmar’s Rebels See Possibility of Victory	https://www.nytimes.com/2024/04/20/world/asia/myanmar-war-rebels.html	Sat, 20 Apr 2024 09:38:41 +0000	Rebel fighters have handed Myanmar’s army defeat after defeat, for the first time raising the possibility that the military junta could be at risk of collapse.	https://static01.nyt.com/images/2024/03/28/multimedia/00myanmar-revolution-01-mqft/00myanmar-revolution-01-mqft-mediumSquareAt3X.jpg
Israeli Weapon Damaged Iranian Air Defenses Without Being Detected, Officials Say	https://www.nytimes.com/live/2024/04/20/world/israel-iran-gaza-war-news	Sat, 20 Apr 2024 13:53:47 +0000	The strike, two Western officials said, was calculated to deliver a message to Iran that Israel could bypass Iran’s defense systems undetected and paralyze them.	https://static01.nyt.com/images/2024/04/20/multimedia/20mideast-crisis-header-pfhc/20mideast-crisis-header-pfhc-mediumSquareAt3X.jpg
Why the War in Myanmar Matters	https://www.nytimes.com/2024/04/20/world/asia/myanmar-civil-war-consequences.html	Sat, 20 Apr 2024 09:27:23 +0000	A devastating, yearslong civil war is heating up, but it still hasn’t attracted broad international notice.	https://static01.nyt.com/images/2024/04/20/multimedia/20xp-myanmar-war-jpbm/20xp-myanmar-war-jpbm-mediumSquareAt3X.jpg
Do Tanks Have a Place in 21st-Century Warfare?	https://www.nytimes.com/2024/04/20/world/europe/tanks-ukraine-drones-abrams.html	Sat, 20 Apr 2024 04:02:08 +0000	As explosive drones gain battlefield prominence, even the mighty U.S. Abrams tank is increasingly vulnerable.	https://static01.nyt.com/images/2024/04/18/multimedia/00ukraine-tanks-explainer01sub-bjkf/00ukraine-tanks-explainer01sub-bjkf-mediumSquareAt3X.jpg
Takeaways From Our Chinese Swimming Investigation	https://www.nytimes.com/2024/04/20/world/asia/china-swimming-doping-takeaways.html	Sat, 20 Apr 2024 12:13:28 +0000	A doping case involving Olympic swimmers has left unanswered questions and raised new concerns about the actions of a global antidoping regulator.	https://static01.nyt.com/images/2024/04/20/multimedia/20china-doping-takeaways-phfm/20china-doping-takeaways-phfm-mediumSquareAt3X.jpg
A Bill to Limit Canada’s Trade Negotiators on Farm Goods Edges Nearer to Law	https://www.nytimes.com/2024/04/20/world/canada/canada-trade-farm-goods-parliament.html	Sat, 20 Apr 2024 10:00:02 +0000	The measure from a member of the Bloc Québécois would ban changes to the supply management system for dairy, poultry and eggs.	https://static01.nyt.com/images/2024/04/20/multimedia/20canadaletter-farm-zglf/20canadaletter-farm-zglf-mediumSquareAt3X.jpg
Top Chinese Swimmers Tested Positive for Banned Drug, Then Won Olympic Gold	https://www.nytimes.com/2024/04/20/world/asia/chinese-swimmers-doping-olympics.html	Sat, 20 Apr 2024 11:19:59 +0000	The case, involving multiple swimmers who seven months later won medals at the 2021 Games, prompted accusations of a cover-up and concerns over why antidoping regulators chose not to intervene.	https://static01.nyt.com/images/2024/04/17/multimedia/00china-doping-01-fqbl/00china-doping-01-fqbl-mediumSquareAt3X.jpg
The Crookie Delights Paris	https://www.nytimes.com/2024/04/20/world/europe/france-crookie-croissant-cookie.html	Sat, 20 Apr 2024 04:01:51 +0000	Stéphane Louvard married one of his signature croissants with a chocolate chip cookie to come up with the “crookie.” After a slow start, his creation took off after it became a TikTok phenomenon.	https://static01.nyt.com/images/2024/04/16/multimedia/00paris-crookie-02-jkcl/00paris-crookie-02-jkcl-mediumSquareAt3X.jpg
Israel Strikes an Iranian Military Base, but Damage Appears Limited	https://www.nytimes.com/2024/04/18/world/middleeast/strike-isfahan.html	Sat, 20 Apr 2024 01:40:09 +0000	The drone attack may have been launched from inside Iran, once again demonstrating Israel’s ability to carry out clandestine operations there.	https://static01.nyt.com/images/2024/04/19/multimedia/19mideast-crisis-leadall-top/19mideast-blog-header-9am-ET-qfbj-mediumSquareAt3X.jpg
Israel’s Strike Was Smaller Than Expected, and So Was Iran’s Reaction	https://www.nytimes.com/2024/04/19/world/middleeast/iran-response-israel-strikes.html	Sat, 20 Apr 2024 04:09:29 +0000	The relatively limited scope of the attack, as well as a muted response from Iranian officials, may have lowered the chances of an immediate escalation, analysts said.	https://static01.nyt.com/images/2024/04/19/multimedia/19mideast-crisis-assess01-klzp/19mideast-crisis-assess01-klzp-mediumSquareAt3X.jpg
U.S. Military to Withdraw Troops From Niger	https://www.nytimes.com/2024/04/19/us/politics/us-niger-military-withdrawal.html	Sat, 20 Apr 2024 06:54:27 +0000	The status of a $110 million air base in the desert remains unclear as the West African country deepens its ties with Russia.	https://static01.nyt.com/images/2024/04/19/multimedia/19dc-niger-01-cjvk/19dc-niger-01-cjvk-mediumSquareAt3X.jpg
Arrests of Europeans for Aiding Russia Raise Fears of Kremlin’s Reach	https://www.nytimes.com/2024/04/19/world/europe/russia-zelensky-navalny-poland-arrests.html	Sat, 20 Apr 2024 00:24:16 +0000	A string of arrests, including two Poles accused of attacking a Navalny aide and a third for ties to a possible plot against Ukraine’s president, have amplified worries of Russian infiltration.	https://static01.nyt.com/images/2024/04/19/multimedia/19poland-arrests-fblk/19poland-arrests-fblk-mediumSquareAt3X.jpg
Bedtime Stories for Grown-Ups	https://www.nytimes.com/2024/04/20/briefing/falling-asleep-to-audiobooks.html	Sat, 20 Apr 2024 10:55:15 +0000	For those past the age of a parental tuck-in, audiobooks might provide a soothing analogue.	
House Set to Vote on Foreign Aid Bills for Ukraine, Israel and Taiwan	https://www.nytimes.com/2024/04/20/world/europe/house-vote-aid-ukraine-israel.html	Sat, 20 Apr 2024 13:43:13 +0000	After clearing a critical hurdle on Friday, the pieces of the $95 billion package were expected to pass in a series of votes, putting the legislation on track for enactment after a tortured journey through Congress.	https://static01.nyt.com/images/2024/04/20/multimedia/20dc-cong-01-vkcf/20dc-cong-01-vkcf-mediumSquareAt3X.jpg
Israel’s Strike on Iran: A Limited Attack but a Potentially Big Signal	https://www.nytimes.com/2024/04/19/us/politics/israel-iran-analysis.html	Fri, 19 Apr 2024 23:22:08 +0000	Israel hit a strategic city with carefully measured force, but made the point that it could strike at a center of Iran’s nuclear program.	https://static01.nyt.com/images/2024/04/19/multimedia/19dc-prexy1-gkvl/19dc-prexy1-gkvl-mediumSquareAt3X.jpg
At G7 Meeting in Capri, Blinken Tackles Rough Seas and Global Crises	https://www.nytimes.com/2024/04/19/world/europe/g7-blinken-israel-iran-ukraine.html	Fri, 19 Apr 2024 20:03:13 +0000	Secretary of State Antony J. Blinken and his counterparts, who met on the Italian island of Capri, welcomed signs that tensions between Iran and Israel might not worsen.	https://static01.nyt.com/images/2024/04/19/multimedia/19blinken-01-hzcq/19blinken-01-hzcq-mediumSquareAt3X.jpg
Israel Launched Missiles as Well as Drones at Iran, Officials Say	https://www.nytimes.com/2024/04/19/world/middleeast/israel-iran-jets-missiles-strikes.html	Fri, 19 Apr 2024 22:12:16 +0000	Though it was not immediately clear if the missiles struck targets inside Iran, their use would mean more sophisticated firepower was involved in the attack than first reported.	https://static01.nyt.com/images/2024/04/19/multimedia/19mideast-crisis-missile-f15-lbpg/19mideast-crisis-missile-f15-lbpg-mediumSquareAt3X-v3.jpg
Battle of the Beaches: Greece Has New Plan to Keep Its Coasts Pristine	https://www.nytimes.com/2024/04/19/world/europe/greece-beaches-tourists.html	Fri, 19 Apr 2024 20:42:40 +0000	The government has pledged to crack down on rapid development, and on seaside businesses seeking to take advantage of a tourist boom. But some residents and conservationists are unimpressed.	https://static01.nyt.com/images/2024/04/19/multimedia/19greece-beaches-mwcf/19greece-beaches-mwcf-mediumSquareAt3X.jpg
Scotland Made Big Climate Pledges. Now They’re ‘Out of Reach.’	https://www.nytimes.com/2024/04/19/climate/scotland-climate-target-scrapped.html	Fri, 19 Apr 2024 18:37:39 +0000	Despite significant progress, Scotland was falling short on cutting vehicle emissions, switching to heat pumps and even restoring peatland, the government said.	https://static01.nyt.com/images/2024/04/19/climate/19CLI-Scotland/19CLI-Scotland-mediumSquareAt3X.jpg
How France Is Fighting ‘Shrinkflation’	https://www.nytimes.com/2024/04/19/business/france-economy-food-prices-shrinkflation.html	Fri, 19 Apr 2024 18:12:37 +0000	Merchants will be required to put signs in front of all products that have been reduced in size without a corresponding price cut.	https://static01.nyt.com/images/2024/04/19/multimedia/19france-shrinkflation-jvkq/19france-shrinkflation-jvkq-mediumSquareAt3X.jpg
Ukrainians Wait, Nervously, to See if U.S. Will Provide Critical Aid	https://www.nytimes.com/2024/04/19/world/europe/ukraine-aid-congress.html	Fri, 19 Apr 2024 21:17:51 +0000	From the battlefield to battered cities, soldiers and civilians are counting on Congress to approve $60 billion in military support. Without it, Ukrainian officials say, prospects in the war are grim.	https://static01.nyt.com/images/2024/04/19/multimedia/19ukraine-01sub-klzm/19ukraine-01sub-klzm-mediumSquareAt3X.jpg
Chinese Export Surge Clouds U.S. Hopes of a Domestic Solar Boom	https://www.nytimes.com/2024/04/19/business/chinese-export-surge-solar-boom.html	Fri, 19 Apr 2024 19:19:55 +0000	The decision by a Massachusetts solar company to abandon plans to build a $1.4 billion U.S. factory highlights the risks amid a flood of Chinese clean energy exports.	https://static01.nyt.com/images/2024/04/18/multimedia/00dc-solar-pjvk/00dc-solar-pjvk-mediumSquareAt3X.jpg
